route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Orange-S,72954,1674665,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682515,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677660,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682516,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674666,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682517,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677661,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674667,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674668,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682518,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677662,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674669,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682519,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677663,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677664,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682520,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674670,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682521,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674671,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677665,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674672,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677666,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682522,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674673,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677667,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682523,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677668,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682524,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674674,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682525,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677669,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674675,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677670,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674676,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682526,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677671,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674677,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682527,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677672,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674678,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682528,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674679,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682529,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677673,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674680,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682530,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677674,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677676,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674681,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682532,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677677,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682533,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674682,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674683,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682534,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677678,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677675,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674684,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682531,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674685,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682535,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677679,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677680,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674686,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682536,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677681,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682537,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674687,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674688,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682539,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677683,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674689,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677684,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682540,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682541,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677685,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674690,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674691,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682538,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677682,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674692,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682542,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677686,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674693,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677687,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682543,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682561,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677705,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674694,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682562,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677706,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674695,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677704,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682560,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674696,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674697,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682544,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677688,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674698,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677689,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682545,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674699,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677690,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682546,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677691,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674700,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682547,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682548,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674701,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677692,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682549,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677693,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674702,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682550,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674703,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677694,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674704,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682551,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677695,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677696,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674705,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682552,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674706,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682553,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677697,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677698,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674707,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682554,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677699,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674708,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682555,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677700,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682556,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674709,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682557,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674710,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677701,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674711,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682558,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677702,Berryessa/North San Jose,1,,004A_shp,,0,0
Green-S,72953,1682867,Daly City,1,,005B_shp,,0,0
Green-S,72953,1682868,Daly City,1,,005B_shp,,0,0
Green-S,72954,1674779,Daly City,1,,005B_shp,,0,0
Green-S,72954,1674780,Daly City,1,,005B_shp,,0,0
Green-S,72955,1677720,Daly City,1,,005B_shp,,0,0
Green-S,72955,1677721,Daly City,1,,005B_shp,,0,0
Green-S,72953,1682869,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682870,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682871,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674781,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682872,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682873,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674782,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682874,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674783,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682875,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674784,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674785,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682876,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674786,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682877,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682878,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674787,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677722,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682879,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677723,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674788,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674789,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677724,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682880,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682881,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674790,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677725,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674791,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677726,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682882,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674792,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677727,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682883,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674793,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682884,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677728,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674794,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677729,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682885,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677730,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682886,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674795,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677731,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674796,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682887,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674797,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677732,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682888,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674798,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677733,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682889,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682890,Daly City,1,,005A_shp,,0,0
Green-S,72954,1674799,Daly City,1,,005A_shp,,0,0
Green-S,72955,1677734,Daly City,1,,005A_shp,,0,0
Green-S,72953,1682891,Daly City,1,,005A_shp,,0,0
